Material Description,201012,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912
CLOTH,0,3,0,3,6,6,7,27,44,17,11,11,11,17,25,32,19,33,20,26,16,9,12,25,17,24,40,233,40,65,13,46,28,3,12,43,8,41,40,26,32,27,16,29,40,43,26,45,44,60,52,98,168,148,117,93,70,79,50,131,55,104,145,132,96,142,72,89,64,84,35,127,59,112,333,264,193,134,117,233,40,131.3664822,131.5893037,151.4204211,151.6432426,151.8660642,152.0888857,152.3117073,152.5345288,152.7573503,152.9801719,153.2029934,153.425815,153.6486365,153.8714581,173.7025754,173.925397,174.1482185,174.3710401,174.5938616,174.8166831,175.0395047,175.2623262,175.4851478,175.7079693,175.9307909,176.1536124
COMMON LITTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,604,1094,0,3,1,0,0,0,72,0,0,4,96,75,12,10,2,0,80.15231217,80.3158996,94.87518044,95.03876786,95.20235529,95.36594271,95.52953014,95.69311756,95.85670499,96.02029241,96.18387984,96.34746726,96.51105469,96.67464211,111.2339229,111.3975104,111.5610978,111.7246852,111.8882726,112.0518601,112.2154475,112.3790349,112.5426223,112.7062098,112.8697972,113.0333846
FISHING GEAR,0,1,1,2,11,7,10,31,39,24,6,15,13,29,29,54,47,44,15,45,16,9,17,53,14,70,67,105,66,50,13,82,26,15,24,40,19,48,41,26,33,32,19,29,48,76,57,49,75,67,45,67,159,188,300,156,336,216,157,266,142,161,178,341,217,255,76,123,119,117,44,307,516,181,587,377,547,261,195,217,105,249.7264287,250.1878534,291.2546487,291.7160734,292.177498,292.6389227,293.1003474,293.561772,294.0231967,294.4846214,294.946046,295.4074707,295.8688954,296.33032,337.3971154,337.85854,338.3199647,338.7813894,339.242814,339.7042387,340.1656634,340.627088,341.0885127,341.5499374,342.011362,342.4727867
GLASS,0,0,1,1,2,2,5,18,33,7,7,12,10,16,20,30,27,34,13,44,16,11,13,15,12,25,79,60,27,24,13,33,17,11,7,23,12,25,27,12,21,19,15,43,39,73,26,72,38,50,57,56,157,114,105,161,85,113,90,136,101,175,168,146,180,215,75,100,101,138,23,161,81,158,222,130,247,94,128,179,71,140.0158471,140.2646313,162.4064263,162.6552105,162.9039947,163.1527789,163.4015632,163.6503474,163.8991316,164.1479158,164.3967,164.6454842,164.8942684,165.1430526,187.2848477,187.5336319,187.7824161,188.0312003,188.2799845,188.5287687,188.777553,189.0263372,189.2751214,189.5239056,189.7726898,190.021474
METAL,2,6,2,11,14,17,27,57,128,30,43,39,51,40,52,75,74,114,42,82,49,37,54,50,37,82,162,388,87,105,62,112,98,17,20,74,29,73,72,61,97,81,24,71,124,94,62,84,102,104,117,164,293,263,191,219,159,261,122,194,190,296,334,343,246,334,145,167,152,226,63,315,187,296,469,376,339,228,286,351,139,264.9204711,265.3424975,302.9028421,303.3248684,303.7468948,304.1689211,304.5909475,305.0129738,305.4350002,305.8570265,306.2790528,306.7010792,307.1231055,307.5451319,345.1054765,345.5275029,345.9495292,346.3715556,346.7935819,347.2156082,347.6376346,348.0596609,348.4816873,348.9037136,349.32574,349.7477663
OTHER ITEMS,0,8,6,5,19,48,42,79,185,67,16,26,21,71,62,89,61,72,25,48,25,2,12,33,19,28,63,90,33,42,16,177,78,2,6,300,33,76,42,33,49,58,77,69,200,357,310,49,47,84,118,114,188,250,202,126,193,120,138,140,241,210,153,295,372,188,146,137,176,247,838,428,152,4196,293,345,2426,419,364,702,267,555.3971569,556.4922992,653.9599596,655.0551019,656.1502441,657.2453864,658.3405287,659.4356709,660.5308132,661.6259554,662.7210977,663.8162399,664.9113822,666.0065244,763.4741849,764.5693272,765.6644694,766.7596117,767.8547539,768.9498962,770.0450384,771.1401807,772.2353229,773.3304652,774.4256074,775.5207497
PAPER & LUMBER,3,12,2,6,29,18,21,42,460,71,45,62,44,48,61,113,69,109,66,97,59,29,49,42,43,64,153,632,76,142,43,182,80,7,28,95,32,70,98,62,55,63,26,56,61,71,55,86,96,147,118,266,449,263,220,206,262,190,211,136,176,266,293,259,190,394,136,226,305,505,99,656,204,923,1359,998,914,232,274,1087,145,437.7722975,438.547171,507.5109163,508.2857898,509.0606633,509.8355369,510.6104104,511.385284,512.1601575,512.9350311,513.7099046,514.4847781,515.2596517,516.0345252,584.9982705,585.773144,586.5480176,587.3228911,588.0977646,588.8726382,589.6475117,590.4223853,591.1972588,591.9721324,592.7470059,593.5218794
PLASTIC,11,108,12,33,149,106,137,238,2043,290,263,263,210,235,401,555,417,848,331,431,369,240,317,507,255,735,2013,6391,553,844,470,1121,343,111,221,471,293,643,628,556,603,534,201,654,1323,898,605,1192,1900,1281,1210,2611,3547,3635,2396,2310,1967,3480,2183,2564,2658,3207,3948,3372,3241,3940,2097,2297,2176,3880,766,4866,1674,4153,5553,6257,8350,3053,3228,5303,2339,3677.872692,3684.349155,4260.754368,4267.230831,4273.707294,4280.183757,4286.66022,4293.136683,4299.613146,4306.089609,4312.566072,4319.042536,4325.518999,4331.995462,4908.400675,4914.877138,4921.353601,4927.830064,4934.306527,4940.78299,4947.259453,4953.735916,4960.212379,4966.688842,4973.165305,4979.641769
RUBBER,0,0,1,2,1,3,2,6,2,2,1,1,1,2,6,6,9,14,8,4,5,0,1,5,1,6,22,10,5,9,5,11,7,3,2,9,1,10,7,7,11,9,25,5,9,11,4,13,20,8,12,14,39,27,38,25,19,26,43,27,25,39,33,41,41,63,20,43,22,14,2,32,18,29,45,48,38,67,48,67,27,37.12223828,37.18859773,43.09458822,43.16094766,43.22730711,43.29366655,43.36002599,43.42638544,43.49274488,43.55910433,43.62546377,43.69182321,43.75818266,43.8245421,49.73053259,49.79689204,49.86325148,49.92961092,49.99597037,50.06232981,50.12868926,50.1950487,50.26140814,50.32776759,50.39412703,50.46048647
URBAN LITTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,12.75936059,12.78519994,15.08490186,15.11074121,15.13658055,15.1624199,15.18825925,15.2140986,15.23993794,15.26577729,15.29161664,15.31745598,15.34329533,15.36913468,17.6688366,17.69467595,17.7205153,17.74635464,17.77219399,17.79803334,17.82387269,17.84971203,17.87555138,17.90139073,17.92723008,17.95306942
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
