Beach Name,TOTAL plastic frags <2.5cm,TOTAL plastic frags >2.5cm,TOTAL foam plastic,TOTAL plastic film,"TOTAL plastic utensils (straws, spoons, etc)",TOTAL food wrappers,TOTAL plastic bottles,TOTAL plastic jugs,TOTAL plastic caps,TOTAL cigar tips,TOTAL cigarette lighters,TOTAL plastic packaging straps,TOTAL pieces of rope,TOTAL buoys and floats,TOTAL fishing lures/line,TOTAL cups,TOTAL balloons,TOTAL personal care prods,TOTAL plastic bags (or frags),TOTAL other,TOTAL PLASTIC ITEMS,Aluminum/tin cans,aerosol cans,metal bottle caps,other:,TOTAL METAL ITEMS,Beverage Bottles (whole),Others: (include glass frags),TOTAL GLASS ITEMS,Flip-Flops,tar,Others (include rubber frags),TOTAL RUBBER ITEMS,paper and cardboard,lumber/ building material,Other:,Cloth (and clothing pieces),shoes,rope/net pieces (non-nylon),TOTAL CLOTH/FABRIC ITEMS,OTHER/UNCLASSIFIABLE,LARGE DEBRIS ITEMS (>1-foot or 0.3m)
Airport Beach,100,124,10,7,0,0,6,1,17,0,1,0,24,0,0,0,0,0,3,6,299,0,0,0,0,0,1,3,4,0,0,4,4,0,0,0,0,0,0,0,0,6
Winding Bay,96,105,7,1,0,0,6,7,16,0,0,3,39,0,0,2,21,1,14,8,326,0,0,0,0,0,2,0,2,0,98,1,99,0,1,0,0,0,2,2,1,1
Half Sound,197,91,13,1,5,1,3,5,15,0,1,0,10,1,0,0,0,3,2,6,354,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,1,3,2,6,0,1
Cotton Bay South,40,27,2,19,0,0,1,0,9,0,0,0,41,0,0,0,0,2,1,9,151,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sunset Beach,24,4,9,2,2,2,1,0,5,0,0,0,5,0,0,0,0,0,1,2,57,0,0,0,1,1,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0
Wemyss Bight Beach,17,9,0,4,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,5,46,16,0,0,0,16,0,2,2,1,0,0,1,2,2,0,0,1,0,1,0,3
Cotton Bay North,150,117,4,2,0,1,2,0,6,1,0,0,10,0,3,0,1,2,3,2,304,0,1,0,0,1,0,4,4,0,0,1,1,0,0,0,0,0,0,0,1,0
Sunrise Beach,135,19,4,2,1,0,0,0,2,0,0,0,13,0,0,0,0,1,0,0,177,2,0,0,0,2,0,3,3,0,0,0,0,0,0,3,1,0,0,1,0,0
IS/CEI Boys Dorm Beach,14,15,1,2,0,2,1,0,7,0,0,0,1,0,0,0,0,0,2,4,49,1,0,1,0,2,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0
Red Bays Beach,34,23,4,13,0,4,0,0,9,0,0,0,6,0,0,0,0,0,3,3,99,1,0,0,0,1,0,9,9,0,0,0,0,0,0,0,1,0,0,1,0,1
Fourth Hole Beach,19,19,9,0,1,1,9,0,4,0,0,0,10,0,0,1,0,0,0,4,77,3,0,0,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Bannerman Town Beach,40,43,5,18,0,0,0,1,5,0,0,0,7,0,0,0,0,0,2,4,125,9,0,0,1,10,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,1
Northside Beach,71,61,15,1,2,0,0,0,12,0,1,2,3,1,0,1,1,3,0,7,181,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,0,1,0,8
Paige Creek,11,15,0,9,0,2,0,0,4,0,0,3,10,1,0,1,0,0,1,2,59,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Plum Creek,4,5,0,1,0,1,0,0,0,2,0,0,6,0,0,0,0,0,0,3,22,3,0,0,0,3,0,1,67,0,0,0,0,0,0,0,1,0,2,3,0,1
